"id","nombre","tipo","createdAt","updatedAt","IdPlaneta","IdConstelacion","IdGalaxia","status"
70,"producto","formulario","2018-11-23 02:13:50","2018-11-23 02:13:50",1,83,2,1
89,"formulariousuario","formulario","2018-12-05 20:54:07","2018-12-05 20:54:07",31,88,2,1
90,"formulariollave","formulario","2018-12-05 20:59:56","2018-12-05 20:59:56",34,88,2,1
124,"formulariopromocion","formulario","2018-12-20 18:50:45","2018-12-20 18:50:45",17,117,2,1
134,"formularioanuncio","formulario","2019-01-01 20:11:36","2019-01-01 20:11:36",41,131,2,1
22,"productos","grid","2018-10-23 01:14:03","2018-10-23 01:14:03",1,17,1,1
31,"ambientes","grid","2018-10-23 01:21:51","2018-11-11 00:10:16",27,30,1,1
69,"imagenportada","imagen","2018-11-23 02:13:31","2018-12-16 23:01:02",5,68,2,0
133,"imagenanuncio","imagen","2018-12-29 20:18:28","2018-12-29 20:18:28",41,131,2,1
24,"categoria","individual","2018-10-23 01:15:38","2018-10-23 01:15:38",2,21,1,1
29,"ambiente","individual","2018-10-23 01:19:54","2018-10-23 01:19:54",27,28,1,1
81,"atributo","individual","2018-11-24 15:49:34","2018-11-24 16:11:36",10,82,2,1
82,"categoria","individual","2018-11-24 16:11:17","2018-11-24 16:11:17",10,77,2,1
21,"categorias","lista","2018-10-23 01:13:23","2018-10-23 01:13:23",2,17,1,1
26,"relacionados","lista","2018-10-23 01:17:32","2018-10-23 01:17:32",1,25,1,1
28,"ambientes","lista","2018-10-23 01:19:05","2018-11-07 16:05:24",27,25,1,1
43,"categorias","lista","2018-11-08 02:31:49","2018-11-08 02:31:49",2,41,1,1
64,"versiones","minilista","2018-11-21 18:32:51","2018-11-21 18:32:51",9,63,2,1
63,"listaproductos","paginacion","2018-11-21 18:19:54","2018-11-21 18:19:54",1,49,2,1
85,"paginacionsucursales","paginacion","2018-11-29 18:47:51","2018-11-29 18:47:51",25,52,2,0
92,"paginacionaccciones","paginacion","2018-12-06 17:27:52","2018-12-06 17:27:52",38,91,2,1
93,"paginacionlogs","paginacion","2018-12-06 17:29:46","2018-12-06 17:29:46",37,91,2,1
109,"paginacionpedidos","paginacion","2018-12-17 17:36:51","2018-12-19 21:00:09",33,98,4,1
112,"paginacionpedidos","paginacion","2018-12-17 17:37:22","2018-12-18 22:28:24",33,105,3,1
115,"paginacionpromociones","paginacion","2018-12-18 22:09:39","2018-12-19 20:59:50",17,53,2,2
118,"paginacionproductospromos","paginacion","2018-12-18 22:56:04","2018-12-19 20:59:51",1,117,2,1
119,"paginaciondescuentos","paginacion","2018-12-18 22:56:19","2018-12-19 20:59:51",19,117,2,1
120,"paginacionoferta","paginacion","2018-12-18 22:56:54","2018-12-19 20:59:52",20,117,2,1
127,"paginacionmarcas","paginacion","2018-12-24 02:08:28","2018-12-24 02:08:28",12,126,2,1
130,"paginacionanuncios","paginacion","2018-12-28 04:39:50","2018-12-28 04:39:50",41,129,2,1
139,"paginacionusuarios","paginacion","2019-01-19 02:44:26","2019-01-19 02:44:26",31,54,2,0
25,"perfilproducto","perfil","2018-10-23 01:16:46","2018-10-23 01:16:46",NULL,NULL,1,1
68,"perfilproducto","perfil","2018-11-22 23:42:55","2018-11-22 23:42:55",1,NULL,2,1
110,"perfilpedido","perfil","2018-12-17 17:37:04","2018-12-19 21:00:10",33,NULL,4,1
111,"perfilpedido","perfil","2018-12-17 17:37:09","2018-12-18 22:28:24",33,NULL,3,1
113,"perfilespacio","perfil","2018-12-17 23:01:17","2018-12-18 22:28:32",30,NULL,1,1
117,"prefilpromociones","perfil","2018-12-18 22:18:02","2018-12-19 20:59:50",17,NULL,2,2
128,"perfilmarca","perfil","2018-12-24 02:08:35","2018-12-24 02:08:35",12,NULL,2,1
131,"perfilanuncio","perfil","2018-12-28 04:40:06","2018-12-28 04:40:06",41,NULL,2,1
27,"producto","producto","2018-10-23 01:18:35","2018-10-23 01:18:35",1,25,1,1
12,"sliders","seccion","2018-10-23 00:56:29","2018-11-10 21:30:41",NULL,11,1,1
15,"categorias","seccion","2018-10-23 01:00:49","2018-10-23 01:00:49",2,12,1,1
19,"modulos","seccion","2018-10-23 01:07:13","2018-10-23 01:07:26",NULL,17,1,1
46,"anuncio","seccion","2018-11-12 19:10:42","2018-11-12 19:10:42",NULL,45,1,1
47,"banners","seccion","2018-11-12 19:17:31","2018-11-14 21:08:54",NULL,11,1,1
48,"banner","seccion","2018-11-12 19:17:55","2018-11-14 21:08:54",NULL,47,1,1
75,"versiones","seccion","2018-11-23 02:17:49","2018-11-23 18:17:57",9,68,2,1
76,"version","seccion","2018-11-23 02:18:32","2018-11-23 02:18:32",9,84,2,1
77,"atributos","seccion","2018-11-23 02:20:05","2018-11-23 02:20:05",10,76,2,1
78,"precio","seccion","2018-11-23 02:20:34","2018-11-23 02:20:34",24,76,2,1
79,"existencia","seccion","2018-11-23 17:38:13","2018-11-23 17:38:13",26,76,2,1
34,"espacio","simple","2018-11-02 00:23:10","2018-11-02 00:23:10",27,14,1,1
13,"ofertas","slider","2018-10-23 00:56:58","2018-10-23 00:56:58",20,12,1,1
14,"espacios","slider","2018-10-23 00:57:15","2018-10-23 00:57:15",27,12,1,1
16,"categoria","slider","2018-10-23 01:01:35","2018-10-23 01:01:35",2,15,1,1
45,"anuncios","slider","2018-11-12 19:10:11","2019-01-03 01:44:57",41,11,1,1
11,"home","vista","2018-10-23 00:55:57","2018-11-10 21:30:38",NULL,NULL,1,1
17,"busqueda","vista","2018-10-23 01:02:40","2018-10-23 01:02:40",NULL,NULL,1,2
30,"espacios","vista","2018-10-23 01:21:34","2018-10-23 01:21:34",NULL,NULL,1,1
32,"home","vista","2018-10-23 20:42:42","2018-10-23 20:42:42",NULL,NULL,2,0
41,"menu","vista","2018-11-08 01:27:20","2018-11-08 01:27:20",NULL,NULL,1,2
49,"productos","vista","2018-11-14 21:41:58","2018-12-19 21:00:36",NULL,NULL,2,2
50,"otros","vista","2018-11-14 21:42:29","2018-11-14 21:50:18",NULL,NULL,2,0
51,"ambientes","vista","2018-11-14 21:42:54","2018-11-14 21:45:29",NULL,NULL,2,0
52,"sucursales","vista","2018-11-14 21:43:22","2018-11-14 21:43:22",NULL,NULL,2,0
53,"promociones","vista","2018-11-14 21:44:48","2018-12-19 21:00:24",NULL,NULL,2,2
54,"usuarios","vista","2018-11-14 21:44:55","2018-11-14 21:44:55",NULL,NULL,2,0
86,"home","vista","2018-11-29 20:54:05","2018-11-29 20:54:05",NULL,NULL,3,0
87,"home","vista","2018-11-29 20:54:30","2018-11-29 20:54:30",NULL,NULL,4,0
91,"actividades","vista","2018-12-06 17:26:38","2018-12-06 17:26:38",NULL,NULL,2,1
96,"metodos","vista","2018-12-11 19:50:12","2018-12-11 19:50:12",NULL,NULL,4,1
97,"direcciones","vista","2018-12-11 19:50:18","2018-12-11 19:50:18",NULL,NULL,4,1
98,"pedidos","vista","2018-12-11 19:50:24","2018-12-19 21:00:15",NULL,NULL,4,1
100,"bolsa","vista","2018-12-15 01:10:23","2018-12-15 01:10:23",NULL,NULL,1,2
102,"proceso","vista","2018-12-16 19:29:14","2018-12-16 19:29:14",NULL,NULL,4,1
105,"pedidos","vista","2018-12-16 22:17:03","2018-12-16 22:17:03",33,NULL,3,1
106,"sucursal","vista","2018-12-16 22:18:03","2018-12-16 22:18:03",25,NULL,3,1
126,"marcas","vista","2018-12-24 02:08:17","2018-12-24 02:08:17",NULL,NULL,2,1
129,"anuncios","vista","2018-12-28 04:38:42","2018-12-28 04:38:42",NULL,NULL,2,2
135,"aviso","vista","2019-01-04 15:25:49","2019-01-13 23:31:09",NULL,NULL,1,1
